"provider_id","date","country","tracking_ecommerce_source","device","exits","revenue_local_currency","revenue_euro"
"11051","2021-01-09","LT","yes","mobile","1722","147.871713486","148.06"
"11069","2021-01-22","LT","yes","desktop","22","3.329863419","3.33"
"11068","2021-02-11","LT","yes","desktop","270","39.970955907","39.986"
"8536","2021-03-06","EE","yes","mobile","177","12.0384","12.046"
"8515","2021-02-01","EE","yes","desktop","25","2.563","2.568"
"11165","2021-02-08","LV","yes","mobile","193","30.0718","30.071"
"11117","2021-01-19","LT","yes","desktop","4482","645.985404705","645.93"
"8536","2021-02-01","EE","yes","tablet","96","3.97485","3.953"
"8510","2021-02-12","EE","yes","desktop","208","8.2841","8.288"
"11106","2021-02-13","LT","yes","mobile","1786","180.49081098","180.547"
"11040","2021-02-04","LT","yes","mobile","943","252.097010045","252.093"
"11117","2021-01-23","LT","yes","mobile","1418","299.216987906","299.253"
"11040","2021-01-22","LT","yes","mobile","232","60.835","60.835"
"11051","2021-01-21","LT","yes","mobile","1204","119.037805696","119.028"
"11047","2021-01-21","LT","yes","mobile","351","65.047385547","65.024"
"11151","2021-01-21","LV","yes","mobile","98","18.842725","18.865"
"11172","2021-01-21","LV","yes","desktop","299","16.1106","16.16"
"11063","2021-02-03","LT","yes","mobile","577","28.128954448","27.995"
"11075","2021-02-03","LT","no","desktop","22","0","0"
"11174","2021-01-30","LV","yes","desktop","2984","253.12925","253.871"
"11106","2021-03-21","LT","yes","desktop","2196","440.860163316","440.9"
"11146","2021-03-26","LV","yes","desktop","480","58.90115","58.945"
"11147","2021-02-28","LV","no","desktop","16","0","0"
"11154","2021-02-28","LV","yes","desktop","779","60.19035","60.071"
"11117","2021-02-28","LT","yes","mobile","1494","136.078167466","136.149"
"11092","2021-03-19","LT","yes","mobile","33","6.616920309","6.618"
"11047","2021-03-19","LT","yes","tablet","82","10.33502347","10.327"
"11106","2021-03-20","LT","yes","mobile","1756","220.538723071","220.494"
"11041","2021-03-20","LT","yes","mobile","1573","151.058329464","150.957"
"11154","2021-01-08","LV","yes","desktop","1991","138.5681","139.363"
"11051","2021-01-08","LT","yes","mobile","1473","123.548885983","123.597"
"11165","2021-02-04","LV","yes","mobile","314","46.1824","46.206"
"8535","2021-02-28","EE","yes","mobile","54","3.0888","3.078"
"11145","2021-02-28","LV","yes","mobile","79","6.1446","6.153"
"11174","2021-03-07","LV","yes","mobile","1144","20.7834","20.878"
"11051","2021-03-07","LT","yes","tablet","190","20.312028392","20.333"
"11040","2021-03-07","LT","yes","desktop","4868","996.876064771","996.841"
"11041","2021-03-07","LT","yes","desktop","3584","276.189322915","276.44"
"11117","2021-03-07","LT","yes","mobile","1679","211.485024414","211.407"
"11040","2021-03-07","LT","yes","mobile","1528","581.862311983","581.86"
"8536","2021-03-07","EE","yes","mobile","232","15.4792","15.46"
"11145","2021-03-07","LV","yes","tablet","53","3.62285","3.628"
"11173","2021-03-08","LV","yes","desktop","88","0","0"
"11046","2021-03-07","LT","no","mobile","35","0","0"
"11051","2021-02-24","LT","yes","mobile","1183","183.096267004","183.257"
"8510","2021-02-24","EE","yes","desktop","232","19.60805","19.614"
"11068","2021-02-24","LT","yes","mobile","180","53.232311778","53.242"
"8511","2021-02-23","EE","yes","mobile","33","4.7245","4.724"
"8535","2021-02-23","EE","yes","desktop","61","3.33025","3.353"
"11062","2021-02-23","LT","yes","tablet","91","7.908061737","7.921"
"11149","2021-01-23","LV","yes","desktop","135","10.45055","10.493"
"11106","2021-01-09","LT","yes","mobile","1365","108.1484386","108.377"
"11067","2021-01-09","LT","yes","desktop","171","15.389842613","15.37"
"8516","2021-02-11","EE","yes","mobile","41","10.6634","10.657"
"11070","2021-02-11","LT","yes","desktop","297","48.251673717","48.262"
"8508","2021-02-11","EE","yes","desktop","52","0","0"
"11106","2021-01-04","LT","yes","tablet","459","51.359499562","51.381"
"11117","2021-01-04","LT","yes","desktop","3448","163.962543487","164.195"
"8516","2021-01-04","EE","yes","desktop","308","31.34021","31.339"
"11067","2021-01-04","LT","yes","mobile","110","19.163050064","19.174"
"11143","2021-01-13","LV","yes","desktop","5100","700.45375","700.546"
"11040","2021-01-13","LT","yes","tablet","329","39.1005","39.101"
"8499","2021-01-13","EE","yes","mobile","213","52.704","52.704"
"11078","2021-01-13","LT","yes","desktop","240","20.500681152","20.535"
"8516","2021-01-13","EE","yes","desktop","294","28.84893","28.854"
"11084","2021-01-13","LT","yes","desktop","564","60.733969318","60.745"
"11070","2021-01-13","LT","yes","mobile","324","97.758815282","97.741"
"11047","2021-02-01","LT","yes","tablet","164","16.548347616","16.551"
"11040","2021-02-01","LT","yes","tablet","179","21.492278991","21.492"
"11068","2021-02-02","LT","yes","tablet","58","7.321553736","7.325"
"11084","2021-02-02","LT","yes","mobile","562","96.963301466","96.97"
"11143","2021-02-17","LV","yes","tablet","193","42.993","42.993"
"11165","2021-02-09","LV","yes","mobile","162","25.9325","25.933"
"8534","2021-01-15","EE","yes","mobile","43","6.5978","6.602"
"11154","2021-01-15","LV","yes","tablet","209","15.740725","15.818"
"11067","2021-02-02","LT","yes","mobile","88","19.513024994","19.513"
"11040","2021-02-08","LT","yes","tablet","410","57.760142592","57.758"
"11173","2021-02-14","LV","yes","desktop","249","32.52018","32.548"
"8499","2021-03-13","EE","yes","desktop","2087","386.76805","386.767"
"11051","2021-03-22","LT","yes","desktop","1738","210.341350203","210.34"
"11172","2021-03-22","LV","yes","mobile","161","29.42038","29.403"
"8532","2021-03-10","EE","yes","desktop","32","2.8556","2.86"
"11143","2021-03-10","LV","yes","desktop","3891","902.7975","902.798"
"8499","2021-03-10","EE","yes","desktop","1575","293.35315","293.354"
"11087","2021-01-29","LT","yes","desktop","28","0","0"
"11091","2021-01-29","LT","no","desktop","117","12.835125695","12.835"
"11134","2021-03-09","LV","no","tablet","7","0","0"
"8517","2021-02-26","EE","yes","desktop","399","33.0396","33.13"
"11084","2021-01-17","LT","yes","desktop","541","73.590322492","73.628"
"11106","2021-03-25","LT","yes","desktop","2708","352.211438621","352.26"
"11040","2021-03-24","LT","yes","tablet","415","77.856923629","77.856"
"11154","2021-03-24","LV","yes","desktop","1534","167.0064","167.397"
"11106","2021-02-02","LT","yes","tablet","294","32.574721923","32.592"
"11051","2021-03-20","LT","yes","mobile","670","85.618576588","85.688"
"11041","2021-02-13","LT","yes","tablet","540","56.969749765","56.958"
"11174","2021-01-14","LV","yes","desktop","3915","259.19575","259.188"
"11049","2021-03-10","LT","yes","desktop","29","4.182314754","4.183"
"11047","2021-02-25","LT","yes","mobile","337","81.346352066","81.365"
"11080","2021-03-16","LT","yes","desktop","146","22.084000116","22.084"
"11173","2021-03-26","LV","yes","mobile","259","67.38468","67.404"
"11067","2021-01-22","LT","yes","mobile","64","15.697567257","15.704"
"8510","2021-03-19","EE","yes","desktop","409","36.41385","36.485"
"11171","2021-03-19","LV","yes","mobile","484","87.0969","87.076"
"11117","2021-03-20","LT","yes","mobile","1368","273.287047304","273.303"
"11128","2021-01-27","LT","yes","mobile","477","107.308682533","107.32"
"11106","2021-02-14","LT","yes","desktop","2417","408.635322014","408.841"
"11106","2021-03-07","LT","yes","desktop","1841","173.845708938","173.855"
"8536","2021-03-07","EE","yes","desktop","1253","95.106","95.425"
"11095","2021-03-07","LT","yes","mobile","73","19.037045761","19.037"
"11174","2021-02-24","LV","yes","desktop","7022","647.87195","647.823"
"11063","2021-02-23","LT","yes","mobile","349","34.829439214","34.89"
"11046","2021-03-12","LT","no","desktop","62","0","0"
"11041","2021-01-23","LT","yes","tablet","655","67.181158972","67.2"
"11040","2021-02-11","LT","yes","mobile","905","279.190589322","279.189"
"11068","2021-02-11","LT","yes","mobile","213","66.502292753","66.494"
"11106","2021-01-04","LT","yes","desktop","3291","389.676552104","389.737"
"11041","2021-01-04","LT","yes","desktop","2072","131.559871719","131.56"
"11154","2021-01-04","LV","yes","mobile","977","135.2571","135.224"
"11054","2021-01-04","LT","yes","desktop","624","27.018732725","26.94"
"11084","2021-01-04","LT","yes","mobile","447","36.730508362","36.696"
"11051","2021-03-03","LT","yes","mobile","567","76.983073798","76.947"
"11174","2021-02-05","LV","yes","desktop","3212","215.3921","215.766"
"8536","2021-02-11","EE","yes","mobile","205","33.3465","33.333"
"11128","2021-01-29","LT","yes","desktop","712","87.150338796","87.17"
"11068","2021-02-21","LT","yes","mobile","305","89.098995374","89.095"
"11079","2021-02-09","LT","yes","tablet","32","2.051964024","2.055"
"11117","2021-01-15","LT","yes","mobile","1956","438.888265882","438.943"
"11165","2021-01-15","LV","yes","desktop","617","47.5365","47.507"
"11078","2021-01-15","LT","yes","tablet","75","4.195256913","4.196"
"11041","2021-02-02","LT","yes","mobile","1774","316.800430414","316.879"
"11117","2021-03-15","LT","yes","desktop","3028","331.046354128","331.178"
"11165","2021-03-15","LV","yes","mobile","273","16.6727","16.619"
"11143","2021-03-22","LV","yes","tablet","290","60.298","60.298"
"11165","2021-03-22","LV","yes","mobile","355","31.1223","31.143"
"8510","2021-03-16","EE","yes","tablet","44","3.0844","3.088"
"11145","2021-01-29","LV","yes","desktop","451","26.9918","26.979"
"11142","2021-01-29","LV","no","desktop","442","0","0"
"11174","2021-01-29","LV","yes","tablet","312","26.83615","26.906"
"11136","2021-01-29","LV","yes","desktop","37","0","0"
"8535","2021-03-09","EE","yes","tablet","11","0.7711","0.774"
"11062","2021-01-18","LT","yes","mobile","1092","150.087669483","150.08"
"11084","2021-03-24","LT","yes","mobile","404","90.570870067","90.578"
"11077","2021-03-24","LT","yes","desktop","8","0","0"
"11174","2021-03-05","LV","yes","desktop","7458","626.5193","626.705"
"11143","2021-03-05","LV","yes","mobile","716","267.7596","267.76"
"11174","2021-01-02","LV","yes","mobile","1105","34.4003","34.501"
"11041","2021-03-05","LT","yes","tablet","475","51.283669003","51.379"
"11145","2021-03-20","LV","yes","mobile","68","2.6862","2.685"
"8511","2021-01-19","EE","yes","tablet","42","1.71545","1.711"
"8500","2021-02-13","EE","no","desktop","480","34.71336","34.692"
"11149","2021-02-13","LV","yes","mobile","74","12.1649","12.164"
"11128","2021-03-10","LT","yes","mobile","135","27.991133601","27.991"
"11047","2021-01-16","LT","yes","desktop","1077","119.055830287","119.042"
"11067","2021-01-16","LT","yes","desktop","192","22.169302848","22.161"
"11047","2021-01-14","LT","yes","desktop","1487","164.296619963","164.124"
"11154","2021-02-09","LV","yes","tablet","82","6.8761","6.899"
"11096","2021-02-25","LT","yes","desktop","97","19.087729305","19.089"
"11060","2021-02-25","LT","yes","desktop","215","9.298041945","9.283"
"8536","2021-02-21","EE","yes","desktop","1119","87.85535","88.13"
"11047","2021-02-15","LT","yes","mobile","434","99.661605783","99.657"
"11171","2021-02-11","LV","yes","desktop","325","20.2939","20.292"
"11174","2021-03-09","LV","yes","tablet","395","31.96655","31.923"
"11062","2021-03-05","LT","yes","desktop","496","28.350945544","28.43"
"11142","2021-02-02","LV","no","desktop","333","0","0"
"8510","2021-03-10","EE","yes","mobile","67","11.6083","11.604"
"11060","2021-01-14","LT","yes","desktop","542","26.822011645","26.792"
"11145","2021-02-25","LV","yes","mobile","71","8.0201","8.013"
"11040","2021-02-15","LT","yes","mobile","1078","317.22452585","317.222"
"11149","2021-03-09","LV","yes","tablet","15","1.4047","1.409"
"11084","2021-02-25","LT","yes","desktop","640","55.199642684","55.178"
"11173","2021-01-26","LV","yes","desktop","243","29.34756","29.372"
"11117","2021-01-25","LT","yes","desktop","4424","530.722483942","530.923"
"11128","2021-01-25","LT","yes","desktop","657","80.069063749","80.127"
"11060","2021-01-25","LT","yes","mobile","422","71.889268083","71.883"
"11096","2021-03-01","LT","yes","desktop","183","36.88997599","36.886"
"11079","2021-03-01","LT","yes","desktop","126","1.53898107","1.531"
"11171","2021-02-17","LV","yes","mobile","198","18.2798","18.285"
"11062","2021-02-17","LT","yes","mobile","150","6.514112744","6.515"
"11054","2021-02-17","LT","yes","mobile","207","58.22426262","58.232"
"11134","2021-01-02","LV","no","desktop","27","0","0"
"11148","2021-01-02","LV","yes","desktop","100","8.8539","8.892"
"11165","2021-01-31","LV","yes","desktop","1311","99.1177","99.444"
"11084","2021-01-05","LT","yes","desktop","567","44.881579696","44.801"
"11106","2021-01-05","LT","yes","mobile","1657","149.294995546","149.304"
"11165","2021-01-05","LV","yes","desktop","573","55.46365","55.524"
"8511","2021-01-04","EE","yes","desktop","524","23.1165","23.274"
"11173","2021-03-04","LV","yes","desktop","533","63.98766","63.957"
"11146","2021-03-04","LV","yes","desktop","288","30.97875","31.058"
"11040","2021-03-04","LT","yes","tablet","535","111.277671301","111.265"
"8499","2021-03-04","EE","yes","desktop","1665","276.3015","276.302"
"8517","2021-03-04","EE","yes","mobile","60","9.9231","9.917"
"11106","2021-03-04","LT","yes","tablet","172","28.101237258","28.09"
"8511","2021-03-05","EE","yes","desktop","179","14.8456","14.869"
"11172","2021-03-04","LV","yes","desktop","241","25.4514975","25.496"
"8499","2021-01-07","EE","yes","tablet","216","30.198","30.198"
"11106","2021-01-07","LT","yes","tablet","395","49.645897283","49.656"
"11084","2021-01-07","LT","yes","mobile","568","60.690574623","60.751"
"11062","2021-01-07","LT","yes","mobile","599","97.18000037","97.209"
"8536","2021-01-07","EE","yes","tablet","160","9.08765","9.131"
"11095","2021-01-07","LT","yes","desktop","449","37.328403444","37.326"
"11170","2021-01-07","LV","yes","mobile","489","65.2223","65.23"
"8499","2021-02-16","EE","yes","desktop","1841","281.665","281.665"
"11106","2021-02-16","LT","yes","mobile","1872","428.029125923","427.978"
"11041","2021-02-16","LT","yes","mobile","2064","151.081592085","150.982"
"8514","2021-02-16","EE","yes","mobile","40","10.4214","10.42"
"11171","2021-02-16","LV","yes","desktop","677","64.7735","64.8"
"11172","2021-02-16","LV","yes","desktop","258","27.9213","27.898"
"11154","2021-02-16","LV","yes","mobile","584","75.3478","75.417"
"11068","2021-02-16","LT","yes","desktop","371","59.568321884","59.583"
"11070","2021-02-03","LT","yes","mobile","396","122.889400955","122.928"
"11165","2021-01-20","LV","yes","mobile","333","14.6377","14.614"
"11040","2021-01-20","LT","yes","desktop","1036","131.215","131.215"
"11106","2021-01-20","LT","yes","tablet","446","54.902728332","54.923"
"11140","2021-01-20","LV","yes","desktop","45","0","0"
"11165","2021-01-20","LV","yes","desktop","384","13.8831","13.878"
"11063","2021-01-25","LT","yes","desktop","271","22.599618372","22.59"
"11086","2021-02-28","LT","yes","desktop","49","0.307509921","0.303"
"11142","2021-01-17","LV","no","desktop","324","0","0"
"11172","2021-01-18","LV","yes","tablet","64","9.2455","9.238"
"8521","2021-01-18","EE","yes","mobile","183","5.1942","5.24"
"11079","2021-01-18","LT","yes","tablet","8","0","0"
"11084","2021-01-24","LT","yes","mobile","548","76.389770133","76.41"
"11054","2021-01-24","LT","yes","desktop","579","67.806645583","67.858"
"11143","2021-01-23","LV","yes","tablet","303","43.0385","43.044"
"11073","2021-01-23","LT","yes","tablet","41","3.91504934","3.917"
"8534","2021-01-23","EE","yes","desktop","83","5.4285","5.444"
"11060","2021-01-23","LT","yes","tablet","130","11.744500386","11.759"
"11142","2021-01-23","LV","no","desktop","242","0","0"
"8536","2021-01-19","EE","yes","mobile","189","14.9182","14.988"
"11047","2021-01-19","LT","yes","desktop","1574","200.382523165","200.14"
"11084","2021-01-28","LT","yes","desktop","323","14.505207847","14.474"
"11051","2021-01-28","LT","yes","mobile","981","66.779474761","66.805"
"8508","2021-01-28","EE","yes","desktop","211","0","0"
"11064","2021-01-28","LT","no","desktop","29","0","0"
"11068","2021-01-28","LT","yes","mobile","200","54.329624705","54.315"
"11073","2021-01-28","LT","yes","desktop","281","22.777562795","22.8"
"11091","2021-02-02","LT","no","mobile","46","8.018751946","8.024"
"11062","2021-01-28","LT","yes","mobile","209","3.470304445","3.474"
"11170","2021-01-24","LV","yes","desktop","293","21.003125","21.11"
"11079","2021-01-24","LT","yes","desktop","210","25.635365963","25.65"
"11058","2021-01-25","LT","no","mobile","156","0","0"
"8508","2021-01-25","EE","yes","tablet","25","0","0"
"11058","2021-01-10","LT","no","mobile","165","0","0"
"11142","2021-01-10","LV","no","desktop","465","0","0"
"11041","2021-01-10","LT","yes","desktop","2086","135.569052464","135.636"
"11068","2021-01-10","LT","yes","mobile","220","36.593757859","36.657"
"11145","2021-01-09","LV","yes","mobile","218","11.6721","11.615"
"11054","2021-01-09","LT","yes","tablet","218","31.475685194","31.48"
"8508","2021-01-09","EE","yes","tablet","23","0","0"
"11172","2021-01-09","LV","yes","tablet","73","7.01965","7.016"
"11073","2021-01-09","LT","yes","desktop","195","19.07756638","19.096"
"8502","2021-01-08","EE","yes","desktop","19","0","0"
"11174","2021-01-08","LV","yes","tablet","250","14.949","14.996"
"11154","2021-01-08","LV","yes","tablet","146","10.05455","10.114"
"8500","2021-01-18","EE","no","desktop","208","0","0"
"11069","2021-01-18","LT","yes","desktop","12","1.332974203","1.334"
"11058","2021-01-18","LT","no","mobile","171","0","0"
"8536","2021-01-18","EE","yes","tablet","172","8.2478","8.254"
"11117","2021-03-02","LT","yes","desktop","3716","437.682794573","437.579"
"11047","2021-02-04","LT","yes","tablet","114","13.362904572","13.357"
"11172","2021-02-04","LV","yes","tablet","55","4.6794","4.695"
"11041","2021-01-05","LT","yes","desktop","2104","146.019626335","146.001"
"11083","2021-01-28","LT","yes","desktop","4","0","0"
"8499","2021-02-13","EE","yes","mobile","170","47.461","47.461"
"11062","2021-02-13","LT","yes","mobile","231","28.519945386","28.544"
"11060","2021-02-13","LT","yes","tablet","159","17.393829314","17.372"
"8511","2021-02-13","EE","yes","desktop","327","19.16365","19.151"
"11086","2021-02-13","LT","yes","mobile","22","0.307743577","0.305"
"11095","2021-02-14","LT","yes","desktop","118","9.041740115","9.034"
"8510","2021-01-28","EE","yes","tablet","8","0.1133","0.111"
"8499","2021-01-03","EE","yes","mobile","629","186.8266","186.828"
"11047","2021-01-03","LT","yes","mobile","418","97.434667183","97.424"
"11044","2021-01-03","LT","no","desktop","294","31.149369782","31.175"
"11050","2021-01-23","LT","yes","mobile","16","0","0"
"11165","2021-03-03","LV","yes","desktop","873","97.92035","98.002"
"11154","2021-03-03","LV","yes","mobile","357","59.9918","60.093"
"11047","2021-02-27","LT","yes","desktop","874","121.48269998","121.474"
"11047","2021-02-27","LT","yes","mobile","372","88.376583966","88.385"
"11067","2021-01-14","LT","yes","mobile","145","33.187520711","33.203"
"11077","2021-01-14","LT","yes","desktop","128","11.874701469","11.885"
"11149","2021-01-27","LV","yes","mobile","92","12.0868","12.087"
"11068","2021-02-18","LT","yes","desktop","339","48.040499542","48.077"
"11146","2021-03-21","LV","yes","desktop","276","22.3971","22.507"
"11092","2021-02-18","LT","yes","desktop","68","10.47752452","10.478"
"11041","2021-02-06","LT","yes","desktop","1574","89.92365529","89.725"
"11051","2021-02-06","LT","yes","desktop","2426","238.192821524","238.203"
"11165","2021-02-06","LV","yes","mobile","365","54.7558","54.769"
"11165","2021-02-06","LV","yes","desktop","458","37.28725","37.427"
"11067","2021-02-06","LT","yes","desktop","94","12.281775321","12.288"
"11044","2021-02-06","LT","no","desktop","101","15.001910954","15.01"
"11060","2021-03-04","LT","yes","desktop","759","52.119289976","52.115"
"11106","2021-01-20","LT","yes","desktop","3235","413.620058571","413.656"
"11058","2021-01-24","LT","no","desktop","290","0","0"
"11142","2021-01-24","LV","no","mobile","221","0","0"
"11142","2021-01-23","LV","no","mobile","117","0","0"
"11047","2021-01-09","LT","yes","mobile","381","69.283226546","69.28"
"11070","2021-01-18","LT","yes","tablet","74","8.192039929","8.187"
"11172","2021-03-02","LV","yes","desktop","216","21.4270045","21.469"
"11040","2021-02-19","LT","yes","tablet","460","86.925713807","86.926"
"11136","2021-02-24","LV","yes","desktop","19","0","0"
"11146","2021-01-03","LV","yes","mobile","20","0","0"
"11070","2021-01-03","LT","yes","desktop","420","46.923423608","46.904"
"11086","2021-02-27","LT","yes","mobile","34","0.48326215","0.481"
"11084","2021-01-14","LT","yes","mobile","385","66.12031447","66.1"
"11070","2021-01-27","LT","yes","desktop","81","0","0"
"11044","2021-01-28","LT","no","desktop","22","0","0"
"11054","2021-01-29","LT","yes","tablet","97","10.724400459","10.741"
"11154","2021-02-16","LV","yes","tablet","117","13.88695","13.892"
"11062","2021-02-15","LT","yes","tablet","35","2.292553962","2.284"
"8532","2021-02-15","EE","yes","desktop","49","3.49085","3.504"
"11049","2021-02-15","LT","yes","desktop","108","13.057138819","13.061"
"11117","2021-01-26","LT","yes","tablet","598","69.598148114","69.607"
"11058","2021-01-26","LT","no","desktop","324","0","0"
"11142","2021-01-26","LV","no","desktop","300","0","0"
"11077","2021-03-15","LT","yes","desktop","8","0","0"
"11073","2021-03-15","LT","yes","mobile","145","32.123572938","32.116"
"11068","2021-03-13","LT","yes","mobile","202","70.06055455","70.06"
"11106","2021-03-13","LT","yes","desktop","1643","250.991312736","250.996"
"11084","2021-03-13","LT","yes","tablet","87","10.809466151","10.807"
"8511","2021-03-13","EE","yes","mobile","38","7.39926","7.399"
"11095","2021-03-13","LT","yes","desktop","128","18.454662591","18.45"
"11143","2021-03-14","LV","yes","desktop","3864","883.25605","883.261"
"11106","2021-03-14","LT","yes","mobile","1450","113.202027502","113.005"
"11096","2021-03-13","LT","yes","mobile","77","22.260424622","22.261"
"11170","2021-03-13","LV","yes","tablet","19","1.8458","1.85"
"11140","2021-03-13","LV","yes","desktop","175","9.23835","9.26"
"11068","2021-03-12","LT","yes","tablet","29","5.058624681","5.06"
"11172","2021-03-12","LV","yes","mobile","103","16.183112","16.178"
"11173","2021-03-12","LV","yes","desktop","411","49.09806","49.096"
"11047","2021-02-25","LT","yes","tablet","114","16.438093516","16.443"
"11154","2021-01-12","LV","yes","desktop","2701","190.356375","191.431"
"11170","2021-01-12","LV","yes","mobile","275","28.05715","28.045"
"8510","2021-02-27","EE","yes","mobile","72","1.8403","1.849"
"11063","2021-02-14","LT","yes","mobile","636","96.58034401","96.599"
"11165","2021-03-17","LV","yes","desktop","346","17.9487","17.912"
"11117","2021-03-17","LT","yes","mobile","1217","139.880665807","139.951"
"11106","2021-03-17","LT","yes","tablet","275","35.666767027","35.655"
"11079","2021-01-14","LT","yes","desktop","102","5.009815233","5.014"
"11054","2021-01-14","LT","yes","mobile","269","41.944952067","41.916"
"11172","2021-01-14","LV","yes","tablet","36","2.81435","2.815"
"11170","2021-03-25","LV","yes","mobile","220","40.6769","40.648"
"11146","2021-03-25","LV","yes","desktop","444","67.43055","67.399"
"11173","2021-03-25","LV","yes","mobile","254","66.0594","66.063"
"11128","2021-03-25","LT","yes","mobile","60","0","0"
"11041","2021-02-22","LT","yes","tablet","504","35.497467462","35.497"
"11090","2021-03-25","LT","no","desktop","11","0","0"
"11051","2021-01-06","LT","yes","desktop","3023","333.40010732","333.747"
"11041","2021-01-06","LT","yes","desktop","2016","154.236411582","154.122"
"8516","2021-01-06","EE","yes","desktop","276","27.17869","27.186"
"11062","2021-01-06","LT","yes","desktop","979","84.145031354","84.171"
"11051","2021-01-06","LT","yes","tablet","340","34.773811059","34.809"
"8515","2021-01-06","EE","yes","desktop","17","1.7787","1.777"
"11149","2021-01-06","LV","yes","desktop","114","8.096","8.139"
"11062","2021-01-21","LT","yes","tablet","92","7.476334515","7.482"
"11148","2021-01-05","LV","yes","desktop","114","8.32425","8.368"
"11086","2021-01-08","LT","no","desktop","20","0","0"
"8534","2021-02-28","EE","yes","desktop","47","0.4719","0.477"
"11080","2021-02-28","LT","yes","mobile","51","16.882237101","16.881"
"8502","2021-02-28","EE","yes","desktop","16","0","0"
"8517","2021-02-24","EE","yes","mobile","54","9.8571","9.855"
"8532","2021-02-28","EE","yes","desktop","27","1.09395","1.095"
"11062","2021-02-28","LT","yes","tablet","36","1.86052919","1.86"
"11092","2021-03-14","LT","yes","desktop","191","23.638592188","23.647"
